id,title,category,startDate,endDate,venue_name,venue_address,city,price_minmax,eventUrl,ticketUrl,source
exa_https://www.eventbrite.com/d/ca--san-francisco/music--events/choir/,"Discover Choir Music Events in San Francisco, CA | Eventbrite",theatre,2025-09-07T07:54:23.309Z,2025-09-07T07:54:23.309Z,** Noe Valley Ministry,,,,https://www.eventbrite.com/d/ca--san-francisco/music--events/choir/,https://www.eventbrite.com/e/soul-fire-resound-ensemble-spring-2025-concert-tickets-1306026954779?aff=ebdssbdestsearch](https://www.eventbrite.com/e/soul-fire-resound-ensemble-spring-2025-concert-tickets-1306026954779?aff=ebdssbdestsearch,exa_fast
exa_https://www.eventbrite.com/d/ca--san-francisco/ballet-shows/,"Discover Ballet Shows Events & Activities in San Francisco, CA | Eventbrite",theatre,2025-09-07T07:54:23.309Z,2025-09-07T07:54:23.309Z,Online (via Eventbrite) — specific physical location not provided,,,,https://www.eventbrite.com/d/ca--san-francisco/ballet-shows/,https://www.eventbrite.com/e/pay-yourself-first-take-control-of-your-personal-finance-tickets-1301354298739](https://www.eventbrite.com/e/pay-yourself-first-take-control-of-your-personal-finance-tickets-1301354298739,exa_fast
exa_https://www.eventbrite.com/e/san-mateo-age-friendly-bay-trail-ride-sept-2024-registration-980525487127,San Mateo Age-Friendly Bay Trail Ride Sept. 2024,theatre,2025-09-07T07:54:23.309Z,2025-09-07T07:54:23.309Z,Not specified in the provided text (likely on the event page link),,,,https://www.eventbrite.com/e/san-mateo-age-friendly-bay-trail-ride-sept-2024-registration-980525487127,https://www.eventbrite.com/e/san-mateo-age-friendl](https://www.eventbrite.com/e/san-mateo-age-friendl,exa_fast
exa_https://www.eventbrite.com/d/ca--san-francisco/data-center/,"Discover Data Center Events & Activities in San Francisco, CA | Eventbrite",theatre,2025-09-07T07:54:23.309Z,2025-09-07T07:54:23.309Z,Online event hosted by Pinnacle Learning Centres Inc,,,,https://www.eventbrite.com/d/ca--san-francisco/data-center/,https://www.eventbrite.ca/e/artificial-intelligence-with-rafael-arturo-ramirez-tickets-1318962746079,exa_fast
exa_https://allevents.in/san-francisco/stereophonic-at-curran-theatre/2400027963916010,Stereophonic at Curran Theatre,theatre,2025-10-28T07:00:00.000Z,2025-10-28T07:00:00.000Z,Curran Theatre,,,,https://allevents.in/san-francisco/stereophonic-at-curran-theatre/2400027963916010,https://allevents.in/san-francisco/stereophonic-at-curran-theatre/2400027963916010,exa_fast
exa_https://dothebay.com/venues/potrero-stage,"Potrero Stage, Upcoming Events on DoTheBay",theatre,2025-09-07T07:54:23.309Z,2025-09-07T07:54:23.309Z,in San Francisco's Potrero Hill,,,,https://dothebay.com/venues/potrero-stage,https://dothebay.com/venues/potrero-stage,exa_fast
exa_https://sf.funcheap.com/meet-ai-spokesperson-attend-free-ai-video-workshop-sparknify-press-event/,Meet AI Spokesperson and Attend Free AI Video Workshop at Sparknify Press Event,theatre,2025-05-01T07:00:00.000Z,2025-05-01T07:00:00.000Z,Midpen Media Center,,,,https://sf.funcheap.com/meet-ai-spokesperson-attend-free-ai-video-workshop-sparknify-press-event/,https://sf.funcheap.com/meet-ai-spokesperson-attend-free-ai-video-workshop-sparknify-press-event/,exa_fast
exa_https://www.eventbrite.co.uk/poi/ca--san-francisco/pantai-marshalls--4dEK7/,"Pantai Marshall's: Best Nearby Events, Tours & Activities | Eventbrite",theatre,2024-05-16T07:00:00.000Z,2024-05-16T07:00:00.000Z,Alliance Française de San Francisco,,,,https://www.eventbrite.co.uk/poi/ca--san-francisco/pantai-marshalls--4dEK7/,https://www.eventbrite.com/e/art-opening-and-reception-george-colliat-serge-hanne-afsf-6pm-tickets-1312324841929?aff=ebdssbpointsofinterest,exa_fast
exa_https://www.broadwaysf.com/,"BroadwaySF | Official Ticketing Site of Golden Gate, Orpheum, and Curran Theatres",theatre,2025-09-07T07:54:23.309Z,2025-09-07T07:54:23.309Z,See Event Page,,,,https://www.broadwaysf.com/,https://www.broadwaysf.com/,exa_fast
exa_https://www.sftravel.com/article/san-francisco-festivals-events-april,San Francisco Festivals and Events in April,theatre,2025-09-07T07:54:23.309Z,2025-09-07T07:54:23.309Z,Japantown,,,,https://www.sftravel.com/article/san-francisco-festivals-events-april,https://www.sftravel.com/article/san-francisco-festivals-events-april,exa_fast
exa_https://www.san-francisco-theater.com/shows/broadway,"Broadway Shows in San Francisco CA 2025/26: Tickets, Info, Reviews, Videos and more",theatre,2024-09-13T07:00:00.000Z,2024-09-13T07:00:00.000Z,** San Francisco Playhouse,,,,https://www.san-francisco-theater.com/shows/broadway,https://www.san-francisco-theater.com/shows/broadway,exa_fast
